title,artist,genres,popularity,danceability,energy,tempo,valence,instrumentalness,acousticness,track_id,artist_id,Primary genre,final genre
Back In Black,AC/DC,australian rock; hard rock; rock,82,0.31,0.7,188.386,0.763,0.00965,0.011,08mG3Y1vljYA6bvDt4Wqkj,711MCceyCBcFnzjGY4Q7Un,australian rock,Rock
The Nights,Avicii,dance pop; edm; pop; pop dance,82,0.527,0.835,125.983,0.654,0.0,0.0166,0ct6r3EGTcMLPtrXHDvVjc,1vCWHaC5f2uS3yhpwWbIA6,dance pop,Pop
Dancing In the Dark,Bruce Springsteen,heartland rock; mellow gold; permanent wave; rock; singer-songwriter,82,0.527,0.942,148.723,0.495,0.0,0.0115,7FwBtcecmlpc1sLySPXeGE,3eqjTLE0HfPfh78zjh6TqT,heartland rock,Rock
Can't Stop,Red Hot Chili Peppers,alternative rock; funk metal; funk rock; permanent wave; rock,81,0.618,0.938,91.455,0.875,0.0,0.0179,3ZOEytgrvLwQaqXreDs2Jx,0L8ExT028jH3ddEcZwqJJ5,alternative rock,Rock
Hey Ya!,Outkast,atl hip hop; dirty south rap; hip hop; old school atlanta hip hop; rap; southern hip hop,81,0.727,0.974,79.526,0.965,0.000532,0.103,2PpruBYCo4H7WOBJ7Q2EwM,1G9G7WwrXka3Z1r7aIDjI7,atl hip hop,Hip Hop/Rap
Till I Collapse,Eminem,detroit hip hop; hip hop; rap,82,0.548,0.847,171.447,0.1,0.0,0.0622,4xkOaSrkexMciUUogZKVTS,7dGJo4pcD2V6oG8kP0tJRR,detroit hip hop,Hip Hop/Rap
You Shook Me All Night Long,AC/DC,australian rock; hard rock; rock,82,0.532,0.767,127.361,0.755,0.000513,0.00287,2SiXAy7TuUkycRVbbWDEpo,711MCceyCBcFnzjGY4Q7Un,australian rock,Rock
...Baby One More Time,Britney Spears,dance pop; pop,81,0.759,0.699,92.96,0.907,0.000131,0.202,3MjUtNVVq3C8Fn0MP3zhXa,26dSoYclwsYLMAKD3tpOr4,dance pop,Pop
Don't Stop Me Now - Remastered 2011,Queen,classic rock; glam rock; rock,81,0.559,0.868,156.295,0.609,0.000176,0.0475,5T8EDUDqKcs6OSOwEsfqG7,1dfeR4HaWDbWqFHLkxsg1d,classic rock,Rock
I Was Made For Lovin' You,KISS,glam rock; hard rock; rock,81,0.768,0.852,128.373,0.867,7.36e-05,0.214,07q0QVgO56EorrSGHC48y3,07XSN3sPlIlB2L2XNcTwJw,glam rock,Rock
Everlong,Foo Fighters,alternative metal; alternative rock; modern rock; permanent wave; post-grunge; rock,81,0.413,0.881,158.066,0.364,0.000308,5.99e-05,5UWwZ5lm5PKu6eKsHAGxOk,7jy3rLJdDQY21OgRLCZ9sD,alternative metal,Rock
Ms. Jackson,Outkast,atl hip hop; dirty south rap; hip hop; old school atlanta hip hop; rap; southern hip hop,81,0.843,0.806,94.948,0.613,0.0,0.143,0I3q5fE6wg7LIfHGngUTnV,1G9G7WwrXka3Z1r7aIDjI7,atl hip hop,Hip Hop/Rap
Poker Face,Lady Gaga,art pop; dance pop; pop,81,0.851,0.806,119.001,0.774,1.72e-06,0.119,1QV6tiMFM6fSOKOGLMHYYg,1HY2Jd0NmPuamShAr6KMms,art pop,Pop
Still D.R.E.,Dr. Dre,g funk; gangster rap; hip hop; rap; west coast rap,80,0.816,0.775,93.431,0.527,0.00031,0.16,503OTo2dSqe7qk76rgsbep,6DPYiyq5kWVQS4RGwxzPC7,g funk,Hip Hop/Rap
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,dance pop; pop,80,0.709,0.824,118.818,0.867,0.000307,0.207,2tUBqZG2AbRi7Q0BIrVrEj,6XpaIBNiVzIetEPCWDvAFP,dance pop,Pop
The Kids Aren't Alright,The Offspring,alternative metal; permanent wave; post-grunge; punk; rock; skate punk; socal pop punk,80,0.523,0.943,99.607,0.766,3.81e-05,0.00704,4EchqUKQ3qAQuRNKmeIpnf,5LfGQac0EIXyAN8aUwmNAQ,alternative metal,Rock
In Da Club,50 Cent,east coast hip hop; gangster rap; hip hop; pop rap; queens hip hop; rap,80,0.899,0.713,90.051,0.777,0.0,0.255,7iL6o9tox1zgHpKUfh9vuC,3q7HBObVc0L8jNeTe5Gofh,east coast hip hop,Hip Hop/Rap
Uptown Girl,Billy Joel,album rock; classic rock; mellow gold; piano rock; rock; singer-songwriter; soft rock,80,0.701,0.944,128.993,0.792,0.0,0.0755,5zA8vzDGqPl2AzZkEYQGKh,6zFYqv1mOsgBRQbae3JJ9e,album rock,Rock
Another One Bites The Dust - Remastered 2011,Queen,classic rock; glam rock; rock,80,0.933,0.528,109.967,0.754,0.312,0.112,5vdp5UmvTsnMEMESIF2Ym7,1dfeR4HaWDbWqFHLkxsg1d,classic rock,Rock
Gimme More,Britney Spears,dance pop; pop,80,0.788,0.844,113.324,0.382,0.000678,0.25,6ic8OlLUNEATToEFU3xmaH,26dSoYclwsYLMAKD3tpOr4,dance pop,Pop
Basket Case,Green Day,modern rock; permanent wave; punk; rock,80,0.442,0.943,85.064,0.781,8.71e-06,0.00293,6L89mwZXSOwYl76YXfX13s,7oPftvlwr6VrsViSDV7fJY,modern rock,Rock
Low (feat. T-Pain),Flo Rida,dance pop; miami hip hop; pop; pop rap,80,0.918,0.609,128.008,0.304,0.0,0.0928,0CAfXk7DXMnon4gLudAp7J,0jnsk9HBra6NMjO2oANoPY,dance pop,Pop
Summer Of '69,Bryan Adams,canadian pop; canadian singer-songwriter; classic canadian rock; heartland rock; mellow gold; soft rock,80,0.509,0.834,139.13,0.774,0.0,0.0183,0GONea6G2XdnHWjNZd6zt3,3Z02hBLubJxuFJfhacLSDc,canadian pop,Pop
Break Stuff,Limp Bizkit,alternative metal; funk metal; nu metal; post-grunge; rap metal; rock,80,0.432,0.884,108.835,0.619,0.000457,0.0128,5cZqsjVs6MevCnAkasbEOX,165ZgPlLkK7bf5bDoFc6Sb,alternative metal,Rock
Should I Stay or Should I Go - Remastered,The Clash,alternative rock; permanent wave; punk; rock,80,0.743,0.836,113.375,0.82,0.0,0.0804,39shmbIHICJ2Wxnk1fPSdz,3RGLhK1IP9jnYFH4BRFJBS,alternative rock,Rock
Last Resort,Papa Roach,alternative metal; nu metal; rap metal; rap rock; rock,79,0.589,0.89,90.586,0.687,0.00082,0.000481,5W8YXBz9MTIDyrpYaCg2Ky,4RddZ3iHvSpGV4dvATac9X,alternative metal,Rock
"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop; pop,79,0.647,0.822,160.019,0.962,0.0,0.219,60nZcImufyMA1MKQY3dcCH,2RdwBSPQiwcmiDo9kixcl8,dance pop,Pop
I Gotta Feeling,Black Eyed Peas,dance pop; pop; pop rap,79,0.744,0.766,127.966,0.61,0.0,0.0873,4kLLWz7srcuLKA7Et40PQR,1yxSLGMDHlW21z4YXirZDS,dance pop,Pop
Wannabe,Spice Girls,dance pop; girl group; pop,79,0.768,0.864,110.009,0.891,0.0,0.101,1Je1IMUlBXcx1Fz0WE7oPT,0uq5PttqEjj3IH1bzwcrXF,dance pop,Pop
Enter Sandman,Metallica,hard rock; metal; old school thrash; rock; thrash metal,79,0.577,0.828,123.257,0.604,0.0114,0.00213,5sICkBXVmaCQk5aISGR3x1,2ye2Wgw4gimLv2eAKyk1NB,hard rock,Rock
SexyBack (feat. Timbaland),Justin Timberlake,dance pop; pop,79,0.967,0.583,117.0,0.964,0.0,0.0584,0O45fw2L5vsWpdsOdXwNAR,31TPClRtHm23RisEBtV3X7,dance pop,Pop
Somebody Told Me,The Killers,alternative rock; dance rock; modern rock; permanent wave; rock,79,0.497,0.97,138.081,0.689,0.000674,9.04e-05,6PwjJ58I4t7Mae9xfZ9l9v,0C0XlULifJtAgn6ZNCW2eu,alternative rock,Rock
Titanium (feat. Sia),David Guetta,big room; dance pop; edm; pop; pop dance,79,0.604,0.787,126.062,0.301,0.15,0.0679,0TDLuuLlV54CkRRUOahJb4,1Cs0zKBU1kc0i8ypK3B9ai,big room,Electronic/Dance
Party In The U.S.A.,Miley Cyrus,pop,79,0.652,0.698,96.021,0.47,0.000115,0.00112,3E7dfMvvCLUddWissuqMwr,5YGY8feqx7naU7z4HrwZM6,pop,Pop
Crazy In Love (feat. Jay-Z),Beyoncé,pop; r&b,79,0.664,0.759,99.252,0.701,0.0,0.00238,0TwBtDAWpkpM3srywFVOV5,6vWDO969PvNqNYHIOW5v0m,pop,Pop
American Idiot,Green Day,modern rock; permanent wave; punk; rock,79,0.38,0.988,186.113,0.769,7.86e-05,2.64e-05,6nTiIhLmQ3FWhvrGafw2zj,7oPftvlwr6VrsViSDV7fJY,modern rock,Rock
Tainted Love,Soft Cell,new romantic; new wave; new wave pop; synthpop,79,0.5,0.501,144.438,0.623,0.0,0.462,0cGG2EouYCEEC3xfa0tDFV,6aq8T2RcspxVOGgMrTzjWc,new romantic,Other
Fast Forward,JEON SOMI,k-pop,58,0.733,0.599,123.991,0.766,0.000304,0.000929,50Q0BUdTTtaMumIELoyrm8,7zYj9S9SdIunYCfSm7vzAR,k-pop,Pop
The Astronaut,Jin,k-pop,82,0.54,0.761,124.988,0.215,2.5e-06,0.00446,0h7QMc9ZRzA9QJrbEHytn2,5vV3bFXnN6D6N3Nj4xRvaV,k-pop,Pop
Seven (feat. Latto),Jung Kook,k-pop,80,0.788,0.841,124.986,0.904,0.0,0.301,7x9aauaA9cu6tyfpHnqDLo,6HaGTQPmzraVmaVxvz6EUc,k-pop,Pop
Dynamite,BTS,k-pop; k-pop boy group; pop,78,0.746,0.765,114.044,0.737,0.0,0.0112,5QDLhrAOJJdNAmCTJ8xMyW,3Nrfpe0tUJi4K4DXYWgMUX,k-pop,Pop
Hype Boy,NewJeans,k-pop; k-pop girl group,76,0.593,0.935,99.976,0.783,0.0,0.268,0a4MMyCrzT0En247IhqZbD,6HvZYsbFfjnjFrWF950C9d,k-pop,Pop
FLOWER,JISOO,k-pop,74,0.843,0.389,123.967,0.635,5.25e-06,0.032,0bC7GKnxh9W9JIvJ6HVWxc,6UZ0ba50XreR4TM8u322gs,k-pop,Pop
S-Class,Stray Kids,k-pop; k-pop boy group; pop,71,0.886,0.781,104.996,0.672,0.0,0.0895,3gTQwwDNJ42CCLo3Sf4JDd,2dIgFjalVxs4ThymZ67YCE,k-pop,Pop
Drunk-Dazed,ENHYPEN,anime; k-pop boy group,71,0.599,0.869,132.889,0.453,0.0,0.000707,1wcr8DjnN59Awev8nnKpQ4,5t5FqBwTcgKTaWmfEbwQY9,anime,Other
Run BTS,BTS,k-pop; k-pop boy group; pop,73,0.724,0.818,77.004,0.696,0.0,0.0201,69xohKu8C1fsflYAiSNbwM,3Nrfpe0tUJi4K4DXYWgMUX,k-pop,Pop
Gone,ROSÉ,k-pop,70,0.647,0.377,79.936,0.653,0.0,0.594,2ayIgfvWo3SfYP2pVOr4pC,3eVa5w3URK5duf6eyVDbu9,k-pop,Pop
Attention,NewJeans,k-pop; k-pop girl group,74,0.811,0.648,104.988,0.695,0.0,0.236,2pIUpMhHL6L9Z5lnKxJJr9,6HvZYsbFfjnjFrWF950C9d,k-pop,Pop
LOVE DIVE,IVE,k-pop girl group,70,0.703,0.709,117.941,0.538,5.43e-05,0.00379,0Q5VnK2DYzRyfqQRJuUtvi,6RHTUrRF63xao58xh9FXYJ,k-pop girl group,Other
POP!,NAYEON,k-pop,70,0.795,0.859,96.986,0.356,0.0,0.0361,3lOMJTQTd6J34faYwASc33,1VwDG9aBflQupaFNjUru9A,k-pop,Pop
God’s Menu,Stray Kids,k-pop; k-pop boy group; pop,71,0.689,0.771,157.052,0.482,0.0,0.00776,4XPXrcpyNr30Km6aPiflJy,2dIgFjalVxs4ThymZ67YCE,k-pop,Pop
FEVER,ENHYPEN,anime; k-pop boy group,71,0.6,0.713,72.999,0.471,0.0,0.0642,0UzymivvUH5s8z4PeWZJaK,5t5FqBwTcgKTaWmfEbwQY9,anime,Other
Kill This Love,BLACKPINK,k-pop; k-pop girl group; pop,70,0.763,0.835,131.875,0.645,0.00221,0.323,6hvczQ05jc1yGlp9zhb95V,41MozSoPIsD1dJM0CLPjZF,k-pop,Pop
TOMBOY,(G)I-DLE,k-pop girl group,70,0.755,0.87,124.032,0.645,0.0,0.00988,0IGUXY4JbK18bu9oD4mPIm,2AfmfGFbe0A0WsTYm0SDTx,k-pop girl group,Other
After LIKE,IVE,k-pop girl group,70,0.68,0.922,125.014,0.799,0.0,0.103,2gYj9lubBorOPIVWsTXugG,6RHTUrRF63xao58xh9FXYJ,k-pop girl group,Other
Hurt,NewJeans,k-pop; k-pop girl group,71,0.599,0.446,179.877,0.567,0.0,0.731,5expoVGQPvXuwBBFuNGqBd,6HvZYsbFfjnjFrWF950C9d,k-pop,Pop
